Column Name,Explanation
time,Date and Time
PriceUSD,BTC Price in USD
HashRate,Network HashRate
TxCnt,Transaction Count
TxTfrCnt,Transfer Transaction Count
TxTfrValAdjNtv,Adjusted Native Value of Transfers
TxTfrValAdjUSD,Adjusted USD Value of Transfers
RevUSD,Revenue in USD
SplyCur,Current Supply
ROI1yr,1-Year ROI
VtyDayRet30d,Volatility (30-Day)
Date,time,PriceUSD,HashRate,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,RevUSD,SplyCur,ROI1yr,VtyDayRet30d
2018-07-01,6361.40253886616,37103365.3719989,153443,397183,221155.1714079,1406857068.877595856516866664,11794796.935774604777446788,17126304.83401612,163.6997029799672,0.03766434577788987
2018-07-02,6608.367157218,36328697.2314513,206702,530924,234575.93874766,1550163929.49361760924960988,11806731.66780358143004824,17128067.33401612,162.3542071859827,0.03831990627139892
2018-07-03,6498.3078591467,30929068.6931176,217338,540313,289144.15984418,1878947766.341804557659761206,9602881.380541440301279341,17129517.33390629,154.64312888891703,0.03829569793760198
2018-07-04,6579.33337638808,35728406.9386013,201935,504288,194541.00335277,1279950116.4349050356326629816,11159918.9065708656038783056,17131192.33390629,153.07612897804495,0.03818512104144583
2018-07-05,6535.29840268849,36528296.646182,202507,514955,212241.63134216,1387062394.2944176039910837384,11323276.4873929736821669302,17132904.83387826,150.57651725597748,0.03798378336031959
2018-07-06,6598.45909585038,42660784.4043001,200485,594063,214103.68797891,1412754427.3995503518699554858,13338973.575289067293468815,17134904.83379718,153.47535989960951,0.03803361367423768
2018-07-07,6737.85608036236,41594264.7941926,164668,412834,128098.55197209,863109607.2907603880998065324,13249924.6701787321780280452,17136854.83379718,169.9698527384409,0.03830818104610722
2018-07-08,6704.91998012858,42127524.5992464,157910,414608,193825.55198876,1299584816.1888877488995147608,13347420.2926753692217664394,17138829.83379718,162.5782384814544,0.038307490185088985
2018-07-09,6664.02409351257,36261666.7436551,206977,503124,216320.52850525,1441565213.8803586902841859925,11460599.47769902353170055,17140529.83376909,165.9043699556657,0.03829989038948855
2018-07-10,6309.08400409118,39727855.4765045,215433,525370,245306.00241216,1547656175.9261110723885807488,11894613.4737506827744141642,17142392.33368776,172.0175066413748,0.03373698952035223
2018-07-11,6377.97651139684,35995036.8411282,201326,487930,237933.92348064,1517536975.2240149814410971776,10892690.4208403702704774848,17144079.83366046,175.0114717759701,0.03366519428699241
2018-07-12,6159.46667621274,37594816.2562895,207840,493933,225838.556099,1391045060.49579195134850126,10972789.3979716612774931262,17145842.33363316,159.3583854191812,0.03311958282512575
2018-07-13,6208.98557188779,38128076.0613432,206358,548500,224548.92230616,1394221018.7818997721515457864,11219720.390206192402861959,17147629.83349486,164.91803475130905,0.032589584547437905
2018-07-14,6255.11247866744,35461777.0360745,175324,429814,127259.50055501,796022489.9506290574652158744,10491864.2068611092699214168,17149292.33349486,182.4201374157303,0.031212130041499517
2018-07-15,6347.60427381648,35461777.0360745,158295,398201,137494.31442387,872759497.8624241030373113776,10648868.415673522605565968,17150954.83349486,219.0338955419204,0.030698769861898956
2018-07-16,6710.80743746347,31995588.3032251,213849,525153,232000.34843903,1556909663.7987590665571472341,10227242.6065954480857754398,17152454.83346756,251.2133480245706,0.032255818105524935
2018-07-17,7320.59482787843,41051426.467194,232829,569484,249747.46085965,1828299970.2449244250734923495,14734501.6128988198215952362,17154442.33344026,230.38957757135123,0.03581149198508226
2018-07-18,7376.03833927528,44793365.5190134,233249,576951,249109.83206005,1837443671.965355104826440564,16272847.6000347732012378552,17156617.33341148,220.1737451153614,0.03523126735103399
2018-07-19,7467.0342980713,44021066.1135132,225038,546274,236848.95916021,1768559301.511776677670702973,16175724.528355981427899122,17158754.83338348,230.82935217607795,0.03526993828146597
2018-07-20,7327.25668293396,39644702.8156786,226470,589676,208893.09690625,1530613340.32509163684906125,14275109.3584979300676295848,17160679.83335618,159.4731422315171,0.035505370292033524
